n_rho,D contrast-1,epsilon,r,Ra_crit,kx_crit,kx_crit_cz,kx_crit,Lz
0.002,0.002002001334,1.00E-04,0,231.29,0.28483,0.2932,1371.829572,0.0013429
0.003,0.003004504503,1.00E-04,0,231.14,0.28486,0.2932,920.1442139,0.00200211
0.01,0.01005016708,1.00E-04,0,230.69,0.28526,0.2881126,270.6209701,0.0066893
0.1,0.1051709181,1.00E-04,0,227.37,0.28487,0.313357,28.55812706,0.0689429
0.3,0.3498588076,1.00E-04,0,221.51,0.28471,0.370123,10.50308648,0.221416
0.7,1.013752707,1.00E-04,0,217.36,0.2853,0.48501,5.57031459,0.54708
1,1.718281828,1.00E-04,0,219.88,0.28658,0.57316,3.799606131,0.947801
1.5,3.48168907,1.00E-04,0,230.93,0.28809,0.720225,2.633411586,1.71842
2,6.389056099,1.00E-04,0,246.9,0.29068,0.87204,1.961104579,2.79393
3,19.08553692,1.00E-04,0,277.59,0.29456,1.17824,1.158575464,6.38983
4,53.59815003,1.00E-04,0,296.47,0.29899,1.49495,0.7012877314,13.394
5,147.4131591,1.00E-04,0,305.61,0.30139,1.80834,0.4202470454,27.0368
6,402.4287935,1.00E-04,0,309.76,0.3031,2.1217,0.2486650774,53.6104
7,1095.633158,1.00E-04,0,311.65,0.30399,2.43192,0.1450133719,105.371
8,2979.957987,1.00E-04,0,312.49,0.30442,2.73978,0.08348794056,206.192
0.002,0.002002001334,1.00E-04,0.3,128.08,0.29262,0.29320524,1055.272376,0.00174577
0.003,0.003004504503,1.00E-04,0.3,128.15,0.29237,0.29324711,707.916968,0.002602743
0.01,0.01005016708,1.00E-04,0.3,127.8,0.29223,0.2951523,213.2563709,0.00869609
0.1,0.1051709181,1.00E-04,0.3,125.16,0.29245,0.321695,22.55232281,0.08962577
0.3,0.3498588076,1.00E-04,0.3,120.96,0.29242,0.380146,8.29808617,0.2878408
0.7,1.013752707,1.00E-04,0.3,118.22,0.29373,0.499341,4.411465676,0.711204
1,1.718281828,1.00E-04,0.3,120.21,0.29462,0.58924,3.004772351,1.2321413
1.5,3.48168907,1.00E-04,0.3,127.69,0.29689,0.742225,2.08757831,2.233946
2,6.389056099,1.00E-04,0.3,137.42,0.29889,0.89667,1.55114942,3.632109
3,19.08553692,1.00E-04,0.3,155.17,0.30222,1.20888,0.9143877614,8.306779
4,53.59815003,1.00E-04,0.3,165.96,0.30463,1.52315,0.5496280597,17.4122
5,147.4131591,1.00E-04,0.3,171.34,0.30628,1.83768,0.3285119079,35.14784
6,402.4287935,1.00E-04,0.3,173.95,0.30717,2.15019,0.1938493308,69.69352
7,1095.633158,1.00E-04,0.3,175.18,0.30769,2.46152,0.112906458,136.9823
8,2979.957987,1.00E-04,0.3,175.78,0.30796,2.77164,0.06496830335,268.0496
0.002,0.002002001334,1.00E-04,2,146.84,0.76025,0.7617705,1782.092938,0.0026858
0.003,0.003004504503,1.00E-04,2,146.74,0.7601,0.7623803,1196.282097,0.00400422
0.01,0.01005016708,1.00E-04,2,146.39,0.76018,0.7677818,360.5844651,0.0133786
0.1,0.1051709181,1.00E-04,2,144.49,0.76263,0.838893,38.2267077,0.1378858
0.3,0.3498588076,1.00E-04,2,141.71,0.76783,0.998179,14.16280582,0.442832
0.7,1.013752707,1.00E-04,2,143.65,0.78115,1.327955,7.625747006,1.09416
1,1.718281828,1.00E-04,2,149.5,0.79318,1.58636,5.258168035,1.895602
1.5,3.48168907,1.00E-04,2,165.18,0.81324,2.0331,3.716886456,3.43684
2,6.389056099,1.00E-04,2,181.43,0.83687,2.51061,2.823017732,5.58786
3,19.08553692,1.00E-04,2,213.02,0.87121,3.48484,1.713339438,12.77966
4,53.59815003,1.00E-04,2,231.8,0.89541,4.47705,1.05010209,26.788
5,147.4131591,1.00E-04,2,241.11,0.9116,5.4696,0.6355506265,54.0736
6,402.4287935,1.00E-04,2,245.46,0.92019,6.44133,0.3774647271,107.2208
7,1095.633158,1.00E-04,2,247.29,0.92583,7.40664,0.2208258991,210.742
8,2979.957987,1.00E-04,2,248.5,0.92764,8.34876,0.1272037862,412.384
